	Cluster_0	Cluster_1	Cluster_2
DVL3	7.79302	7.61848	8.09587
DXO	7.252	7.03368	7.36199
DYDC1	5.37094	5.36123	5.38835
DYM	8.71221	8.6397	8.96495
DYNC1H1	9.40599	9.3957	9.43313
DYNC1I1	5.6093	5.72272	6.30004
DYNC1I2	9.41554	9.16277	9.10341
DYNC1LI1	5.63932	5.61122	5.63928
DYNC1LI2	10.5471	10.5972	10.7216
DYNC2H1	6.70881	6.38628	6.28855
DYNC2LI1	6.34215	6.16641	6.14672
DYNLL1	11.7684	11.7332	11.7991
DYNLL2	6.37396	6.50873	6.47826
DYNLRB1	9.37384	9.08426	9.11205
DYNLRB2	7.6277	6.81308	6.28119
DYNLT1	10.4457	10.2512	10.4383
DYNLT3	7.01492	6.9028	6.88175
DYRK1A	7.37415	7.39916	7.45762
DYRK1B	6.33687	5.97574	6.08884
DYRK2	7.34061	7.81112	7.58623
DYRK3	5.92642	5.81953	5.97858
DYRK4	8.43782	8.40225	8.89716
DYSF	6.92978	7.5458	7.68393
DYTN	5.71073	5.69276	5.71646
DYX1C1	5.42896	5.38712	5.3948
DZANK1	6.19097	5.92617	6.05254
DZIP1	5.44719	5.49668	5.5946
DZIP1L	5.6643	5.6489	5.70076
E2F1	5.42802	5.40969	5.43365
E2F2	7.10035	7.42217	8.12777
E2F3	8.08525	8.38821	9.27789
E2F4	7.85562	8.25279	8.32011
E2F5	7.12008	7.10042	7.86362
E2F6	5.50927	5.49485	5.54119
E2F7	5.87621	5.8258	6.28534
E2F8	5.31798	5.33501	5.51889
E4F1	9.56294	9.25602	9.16771
EAF1	6.32203	6.27316	6.30477
EAF2	6.30283	7.24352	6.48331
EAPP	5.2936	5.28129	5.31352
EARS2	7.22844	6.8037	6.89231
EBAG9	6.03693	5.94082	6.02499
EBF1	7.09335	7.58595	6.73702
EBF2	5.88336	5.91757	5.72872
EBF3	6.22961	6.6022	6.06152
EBNA1BP2	10.0828	9.96319	10.5543
EBP	7.55606	7.72692	7.89769
EBPL	8.76613	8.90265	9.02676
ECD	7.01512	6.94646	6.98162
ECE1	6.09532	6.05938	5.92214
ECE2	5.96394	6.06289	6.409
ECEL1	5.5172	5.57966	5.70138
ECH1	10.6786	10.6721	10.4811
ECHDC1	5.64519	5.70857	5.85673
ECHDC2	10.7457	10.2505	10.0822
ECHDC3	8.28016	7.96941	8.63428
ECHS1	10.0231	9.87225	9.82626
ECI1	8.25729	7.63135	7.66608
ECI2	8.09969	7.90768	7.12455
ECM1	7.41487	7.26216	6.46359
ECM2	6.94821	7.23866	6.57692
ECSIT	6.46659	6.34234	6.37437
ECT2	7.50377	7.44541	8.2519
ECT2L	5.5808	5.54657	5.56964
EDA	5.46967	5.50584	5.48926
EDA2R	5.42617	5.43489	5.35897
EDAR	5.3279	5.39811	5.41347
EDARADD	5.48372	5.52929	5.45157
EDC3	7.21191	7.04962	7.07126
EDC4	8.73068	8.9136	8.97362
EDDM3A	5.8552	5.87676	5.84897
EDDM3B	5.48459	5.54404	5.39013
EDEM1	7.11081	7.12658	6.89994
EDEM2	5.42362	5.39892	5.42448
EDEM3	5.55667	5.53869	5.52978
EDF1	10.7807	10.6141	10.4329
EDIL3	5.598	5.58918	5.50401
EDN1	7.09479	7.64537	8.1063
EDN2	5.93292	5.82118	6.29535
EDN3	5.51623	5.46853	5.84604
EDNRA	7.69522	7.4433	7.12267
EDNRB	5.46367	5.49251	5.44031
EDRF1	7.01076	6.92472	6.99951
EEA1	5.79416	5.84517	5.82858
EED	5.7215	5.77494	5.80317
EEF1A1	14.2155	14.2687	14.1318
EEF1A2	9.4647	7.96621	6.33896
EEF1B2	7.62544	7.89428	7.97495
EEF1D	9.88853	9.85013	9.6119
EEF1DP3	6.04033	5.73978	5.70368
EEF1E1	8.20276	8.19803	8.52115
EEF1G	11.8483	11.9414	12.1485
EEF2	12.6186	12.4473	12.2544
EEFSEC	5.79575	5.71777	5.70213
EEPD1	6.14297	6.15759	6.00247
EFCAB1	5.54533	5.52067	5.57537
EFCAB11	7.13073	6.87631	6.55896
EFCAB12	5.76337	5.58772	5.55346
EFCAB14	9.09837	9.02537	8.72464
EFCAB2	5.27156	5.24206	5.21308
EFCAB3	5.53441	5.59269	5.56902
EFCAB4A	10.0745	9.29434	9.27036
EFCAB4B	5.91198	5.78747	5.68542
EFCAB5	5.33448	5.34198	5.3298
EFCAB6	5.61449	5.47489	5.46738
EFCAB7	5.82925	5.717	5.7654
EFCAB9	5.33878	5.35505	5.34814
EFEMP1	7.92849	8.10959	7.60032
EFEMP2	11.2528	11.4652	11.4823
EFHB	5.5267	5.51684	5.4812
EFHC1	7.08109	6.50773	6.46015
EFHC2	5.89256	5.66919	6.03145
EFHD1	11.7901	11.0157	10.6735
EFHD2	8.98843	9.56203	9.23896
EFNA1	9.49632	8.71419	9.61454
EFNA2	5.27199	5.27455	5.27816
EFNA3	5.4216	5.44821	5.44651
EFNA4	7.31713	7.37138	7.81116
EFNA5	5.47879	5.48736	5.62785
EFNB1	6.54189	6.6137	6.67492
EFNB2	7.95018	8.33037	8.27923
EFNB3	6.29034	6.22852	6.44584
EFR3A	9.43255	9.49686	9.19523
EFR3B	6.0028	5.75412	5.99516
EFS	6.36779	6.44701	6.62368
EFTUD1	6.98792	6.73577	6.88592
EFTUD2	9.09558	8.9654	9.34824
EGF	5.67268	5.63069	5.59606
EGFEM1P	5.34815	5.34238	5.36473
EGFL6	5.90531	6.61152	6.45776
EGFL7	5.74847	5.81389	5.6268
EGFL8	6.24074	6.06234	5.86588
EGFLAM	6.34651	6.56063	6.15036
EGFR	5.52237	5.6317	5.69797
EGLN1	6.01591	6.16468	6.56188
EGLN2	8.17472	7.59778	7.65653
EGR1	9.03335	9.45382	9.00423
EGR3	6.07221	5.95757	5.87322
EGR4	5.32025	5.32527	5.31166
EHBP1	8.01986	8.21442	8.47782
EHD1	9.18786	9.63854	9.47602
EHD2	6.56896	6.57424	6.19254
EHD3	5.64043	5.65073	5.59186
EHD4	9.14954	9.48703	9.06188
EHF	7.04301	6.90363	7.45397
EHHADH	5.75698	5.71909	5.81171
EHMT1	5.78479	5.77765	5.66603
EHMT2	5.99086	5.93648	6.06644
EI24	8.36688	8.39126	8.62677
EID1	6.19857	6.22375	5.92472
EID2	6.80322	6.78918	6.85607
EID2B	5.9016	5.84696	5.78748
EID3	5.65507	5.76966	5.67692
EIF1	11.0304	10.8261	10.8087
EIF1AX	6.0282	5.89902	6.04766
EIF1AY	5.35385	5.32535	5.3405
EIF1B	8.36679	8.47714	8.28757
EIF2A	9.71106	9.57126	9.73849
EIF2AK1	11.5574	11.3032	11.3611
EIF2AK2	9.79677	9.68501	10.0103
EIF2AK3	6.16951	6.16864	6.09766
EIF2B1	8.69428	8.63703	8.63835
EIF2B2	8.50174	8.57397	8.38277
EIF2B4	9.51214	9.43212	9.40976
EIF2B5	8.58691	8.40033	8.43439
EIF2D	8.49798	8.21973	8.33567
EIF2S1	6.76358	6.78108	6.77196
EIF2S2	6.33033	6.39333	6.61947
EIF2S3	10.644	10.5068	10.7321
EIF3A	8.26247	8.22153	8.3316
EIF3B	9.86359	9.92976	10.2949
EIF3C	5.91266	5.83899	6.02092
EIF3D	10.6836	10.6802	10.8482
EIF3E	12.2757	12.2377	12.61
EIF3F	10.2205	10.3759	10.2398
EIF3G	10.4995	10.4636	10.3977
EIF3H	11.1399	10.7917	10.9314
EIF3I	10.1484	10.1047	10.1456
EIF3IP1	5.53617	5.51975	5.50682
EIF3J	7.19735	7.0007	7.01494
EIF3K	10.9287	11.1232	11.1641
EIF3L	10.6665	10.8151	10.7157
EIF3M	8.77332	8.79315	8.95936
EIF4A1	10.6662	10.8783	10.9346
EIF4A2	11.8947	11.6116	11.5927
EIF4A3	10.1308	9.96314	10.2869
EIF4B	11.0006	10.8223	10.4663
EIF4E	5.43334	5.45561	5.42661
EIF4E1B	5.54561	5.56159	5.53418
EIF4E2	8.6902	8.99853	9.13797
EIF4E3	7.88073	7.80838	7.35411
EIF4EBP1	6.12012	6.30593	6.66743
EIF4EBP2	7.67375	7.7509	7.79846
EIF4ENIF1	7.5768	7.54733	7.63577
EIF4G1	7.0476	7.04609	7.20422
EIF4G2	10.8306	10.8615	10.8337
EIF4G3	8.41328	8.32136	8.05114
EIF4H	7.97835	8.14778	8.2526
EIF5	5.76034	5.74561	5.76638
EIF5A	9.82427	9.9224	10.2248
EIF5A2	5.82703	5.87531	5.89431
EIF5AL1	5.50969	5.5144	5.52497
EIF5B	7.52758	7.54564	7.79045
EIF6	9.66952	9.69246	9.9672
ELAC2	7.46375	7.41499	7.54752
ELANE	5.42876	5.45606	5.39689
ELAVL1	6.37665	6.27145	6.71843
ELAVL2	5.44197	5.40394	5.59598
ELAVL3	5.47799	5.47829	5.46659
ELAVL4	5.50053	5.5147	5.54076
ELF1	8.7286	8.8648	8.40458
ELF2	6.78351	6.70063	6.48632
ELF3	8.763	8.30337	9.16437
ELF4	7.69546	8.22835	8.0582
ELF5	6.16823	6.36752	8.60465
ELFN2	5.45193	5.48324	5.38747
ELK1	8.01011	7.97879	8.21254
ELK3	5.71782	5.81417	5.65253
ELK4	5.58713	5.61705	5.82347
ELL2	6.85211	7.02256	6.64676
ELL3	6.90816	6.80783	6.63896
ELMO1	5.63275	5.75027	5.6211
ELMO2	7.21448	7.23694	7.02912
ELMO3	7.33125	6.80242	6.99755
ELMOD1	5.53632	5.49625	5.49981
ELMOD2	7.10353	7.02899	6.60403
ELMOD3	6.64046	6.52574	6.38486
ELMSAN1	7.0493	6.95543	6.67148
ELN	6.00005	6.02455	5.93459
ELOF1	7.08982	7.06582	7.09826
ELOVL1	7.03131	7.18431	7.39525
ELOVL2	6.20219	5.53201	5.43637
ELOVL3	5.44355	5.44978	5.52375
ELOVL4	6.29069	6.44816	6.73912
ELOVL5	9.21396	8.74195	7.82842
ELOVL6	6.63597	6.49125	6.72172
ELOVL7	5.38604	5.43545	5.40391
ELP2	9.18632	7.93959	8.24411
ELP3	8.29571	8.02361	7.99875
ELP4	6.66262	6.61432	6.64395
ELP5	6.06854	6.01995	6.05946
ELP6	6.35777	6.21891	6.13322
ELSPBP1	5.33649	5.31723	5.30888
EMC1	7.90133	7.80343	7.84421
EMC10	5.70008	5.62687	5.68899
EMC2	6.03251	6.01538	6.1694
EMC4	10.2074	10.131	9.9225
EMC6	7.39969	7.48263	7.68789
EMC7	10.4971	10.4412	10.1063
EMC8	6.51394	6.6889	6.97522
EMC9	7.38893	7.20201	7.25611
EMCN	6.13875	6.37617	5.87159
EMD	9.58516	9.41095	9.75174
